Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Site Type,Tenure,Leased,Post Code,Depreciation (£),PDC (£),Leases and rent (£),Rates (£),Interest on Capital (£),Other Estates and Facilities finance costs (£),Indirect accommodation subsidies (£),Estates and property maintenance (£),Grounds and gardens maintenance (£),Electro Bio Medical Equipment maintenance (£),Other Hard FM (Estates) costs (£),Other Soft FM (Hotel Services) costs (£),Management (Hard and Soft FM) costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Gross internal floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Land area owned (Hectares),Land area not delivering services (Hectares),Private patient (m²),Pathology (m²),Clinical Sterile Services Dept. (CSSD) (m²),Clinical space - other (m²),Medical records (m²),Human Resources (m²),Information Technology (m²),General Administration (m²),Restaurants (m²),Staff Accommodation (m²),Non-clinical space - other (m²),Retail sales area (m²),111 Contact Centre (m²),999 Contact Centre (to include empty & fall back desks) (m²),PTS Contact Centre (m²),Hub (make ready station) (m²),Spoke (m²),Ambulance Station (excludes deployment points with no premises costs) (m²),Ambulance Station (PTS) (m²),Training (m²),Corporate (m²),Fleet Workshop (m²),HART (Hazardous Area Response Team) (m²),Masts (m²),Logistics Store (m²),Other (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - clinical space (%),Floor area - empty (%),Floor area - under used (%),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Isolation rooms (No.),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Age profile - 2015 to 2024 (%),Age profile - 2005 to 2014 (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),CHP units operated on the site (No.),CHP unit/s size - electrical (watts),CHP unit/s size - thermal (watts),CHP unit/s efficiency (%),Fossil energy input to CHP system/s (kWh),Thermal energy output of CHP system/s (kWh),Electrical energy output of CHP system/s (kWh),Exported electricity (kWh),Exported thermal energy (kWh),Have you dumped/discharged energy in the last year (Yes/No),How many kWh were discharged to waste (kWh),Electricity costs (£),Electricity consumed (kWh),Gas costs (£),Gas consumed (kWh),Oil costs (£),Oil consumed (kWh),Coal costs (£),Coal consumed (kWh),Electricity costs - green energy tariff (£),Electricity consumed - green energy tariff (kWh),Electricity costs - third party owned renewable (£),Electricity consumed - third party owned renewable (kWh),Non-fossil fuel costs - renewable (£),Non-fossil fuel consumed - renewable (kWh),Other energy costs (£),Steam consumed (kWh),Hot water consumed (kWh),Electrical energy output of owned onsite renewables (kWh),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Water and sewerage cost (£),Water volume (including borehole) (m³),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Incineration (clinical waste) cost (£),Incineration (clinical waste) volume (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) volume (Tonnes),Offensive waste cost (£),Offensive waste volume (Tonnes),Clinical waste processed on site cost (£),Clinical waste processed on site volume (Tonnes),Domestic waste (landfill) cost (£),Domestic waste (landfill) volume (Tonnes),Domestic waste (recycling) cost (£),Domestic waste (recycling) volume (Tonnes),Domestic waste (food) cost (£),Domestic waste (food) volume (Tonnes),Domestic waste (textiles) cost (£),Domestic waste (textiles) volume (Tonnes),Domestic waste (incineration) cost (£),Domestic waste (incineration) volume (Tonnes),Domestic waste processed on site cost (£),Domestic waste processed on site volume (Tonnes),Confidential waste cost (£),Confidential waste volume (Tonnes),Other waste costs (£),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Car parking services cost (£),Parking spaces available (No.),Designated disabled parking spaces (No.),Electric vehicle charging points (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for staff parking (£),Is there a charge for disabled parking (Yes/No/None),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Cleaning service cost (£),Cleaning staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Inpatient food service cost (£),Inpatient main meals requested (No.),Hostess meal service (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Laundry and linen service used (Select),Laundry service cost (£),Linen service cost (£),Laundered pieces per annum (No.),Onsite laundry (Select),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£),Portering service cost (£),Portering staff (WTE),PFI Contractor (SPV) costs (£),PFI Management (Trust) costs (£)
RPG,OXLEAS NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RPGORS,OTHER REPORTABLE SITES,Other Reportable Site,,,DA2 7WG,"1,674,114","984,963","1,880,324","534,542","261,889","10,512",0,"1,790,130","25,857","82,000",0,"241,021","244,041",Not Applicable,Not Applicable,"22,862",100,"52,213",Not Applicable,Not Applicable,0,0,0,"13,361",0,217,"1,400","1,702",0,0,"6,182",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,4,0,0,0,0,0,"7,800,000",0,2.5,18.4,16.7,15.5,13.9,8.2,2.3,22.5,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"724,485","1,627,706","94,764","337,198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"48,205","16,410",Not Applicable,Not Applicable,"4,707",6.15,0,0,"8,506",6.3,0,0,0,0,"39,352",200.02,0,0,0,0,0,0,0,0,"1,019",1.14,0,Not Applicable,Not Applicable,0,710,40,0,0,0,No,Not Applicable,Not Applicable,"627,131",17.25,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,1. Contracted – Full service,"1,599",Not Applicable,"6,390",No,Not Applicable,Not Applicable,"55,924",1.86,Not Applicable,Not Applicable
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,RPY01,"ROYAL MARSDEN HOSPITAL, CHELSEA",1. General acute hospital,1. Freehold,,SW3  6JJ,"6,096,250","1,964,504",0,"683,021","105,547",0,Not Applicable,"2,200,547","31,197","2,283,607",0,"2,650,541","289,064",Not Applicable,Not Applicable,"35,612",100,"106,836",1.1,0,"3,258","1,338",0,"18,694",16,365,114,"1,386",555,0,"9,828",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,47,2,13,"300,300","784,602","2,102,100","2,702,700",0,2.84,0,21.75,3.06,2.08,11.72,2.48,56.07,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,257,857","8,094,272","356,051","11,706,899","2,408","105,600",0,0,0,0,0,0,0,0,"40,251",0,0,0,Not Applicable,Not Applicable,"110,926","32,501",Not Applicable,Not Applicable,"34,714",113,"16,920",19,"20,420",60,0,0,0,0,"39,965",87,"7,293",30,0,0,"72,346",234,0,0,"12,252",19,"64,929.00",Not Applicable,Not Applicable,0,11,0,0,0,0,No,Not Applicable,Not Applicable,"1,840,911",53,Not Applicable,Not Applicable,"578,916","59,133",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"46,869",Not Applicable,"908,962",No,Not Applicable,Not Applicable,"790,233",22,Not Applicable,Not Applicable
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,RPY02,"ROYAL MARSDEN HOSPITAL, SUTTON",2. Specialist hospital (acute only),1. Freehold,,SM2  5PT,"6,826,386","2,155,533",0,"911,959","115,811",0,Not Applicable,"2,167,297","60,791","2,283,607",0,"2,061,849","289,064",Not Applicable,Not Applicable,"49,804",100,"149,412",7.45,0,"1,432","4,326","1,345","23,927",174,536,817,"1,447",925,328,"14,468",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,53,1,17,0,"5,604,615","10,067,906","901,859",0,29.96,2.74,6.85,1.65,1.71,45.54,0,11.55,1,"2,200,000","2,000,000",77,"29,123,722","11,201,545","11,273,703","3,795,091",0,Yes,"3,650,934","289,796","3,238,548","804,136","34,582,459","16,317","256,410",0,0,0,0,0,0,0,0,"40,755",0,0,"50,908",Not Applicable,Not Applicable,"116,663","47,890",Not Applicable,Not Applicable,"39,721",113,"6,679",19,"21,091",60,0,0,0,0,"30,582",87,"10,545",30,0,0,"82,254",234,0,0,"13,709",39,"65,142.00",Not Applicable,Not Applicable,"130,548",773,20,2,2,0,Yes,Not Applicable,Not Applicable,"1,619,472",47.5,Not Applicable,Not Applicable,"1,091,841","75,864",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"40,961",Not Applicable,"600,036",No,Not Applicable,Not Applicable,"811,998",18,Not Applicable,Not Applicable
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - SPECIALIST,RPYORS,OTHER REPORTABLE SITES,Other Reportable Site,,,SW3 6JJ,"22,203","10,641","1,608,564",0,572,0,Not Applicable,0,0,0,0,0,0,Not Applicable,Not Applicable,"3,957",100,"11,870",Not Applicable,Not Applicable,"2,495",0,0,481,0,369,369,242,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,None,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,6. No service,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,RQ301,BIRMINGHAM CHILDRENS HOSPITAL,2. Specialist hospital (acute only),1. Freehold,,B4   6NH,"5,583,726","2,831,334","60,391","539,112",0,0,Not Applicable,"2,801,649","43,776","623,585","1,897","1,318,446","1,320,342",Not Applicable,Not Applicable,"60,817",89,"188,533",4,0,0,"3,660",0,"40,530",215,186,261,"4,474",322,"1,907","9,112",150,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,63.7,87.2,0,0,41,72,11,"283,311","10,852,758","2,224,907","610,144",12,9,1,10,10,7,0,0,51,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,078,443","9,240,152","44,967","1,310,606",0,0,0,0,0,0,0,0,0,0,"544,640",0,"13,816,524",0,Not Applicable,Not Applicable,"244,740","92,180",Not Applicable,Not Applicable,"21,391",38.83,"123,534",339.07,"2,856",11.73,0,0,0,0,"2,650",71.48,"1,539",12,0,0,"73,730",432,0,0,"6,835",34.3,0,Not Applicable,Not Applicable,"102,951",52,3,0,1.83,0,Yes,Not Applicable,Not Applicable,"2,539,031",78.07,Not Applicable,Not Applicable,"396,792","144,951",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"312,801",Not Applicable,"1,368,759",No,Not Applicable,Not Applicable,"477,436",17,Not Applicable,Not Applicable
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,RQ330,PARKVIEW CLINIC,4. Mental Health (including Specialist services),1. Freehold,,B13  8QE,"82,227","175,151",0,"136,143",0,0,Not Applicable,"10,777",0,0,0,0,0,Not Applicable,Not Applicable,"2,959",100,"8,082",2,0,0,0,0,"1,947",50,0,3,959,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,6,0,"1,500","37,401","24,600","122,144",0,0,100,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"71,621","351,894","36,952","1,231,519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"21,482","3,798",Not Applicable,Not Applicable,593,0.27,291,0.52,233,0.42,0,0,0,0,0,0,"1,569",7,0,0,"7,510",27,0,0,638,1.5,0,Not Applicable,Not Applicable,0,30,2,0,0,0,No,Not Applicable,Not Applicable,"205,870",5.88,Not Applicable,Not Applicable,"133,121","48,630",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"3,210",Not Applicable,"13,057",No,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,RQ370,BIRMINGHAM WOMEN'S HOSPITAL,2. Specialist hospital (acute only),4. SLA/lease from NHS,1. Leased and fully serviced by the Trust,B15 2TG,"2,714,596","1,111,746","66,871","386,386","168,000",0,0,"111,731","6,920","540,127","10,430","227,407","237,837",Not Applicable,Not Applicable,"29,354",100,"55,125",Not Applicable,Not Applicable,0,0,0,"16,872",150,0,50,"3,930",278,0,686,106,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,38,49.8,25,0,19,1,0,"4,000","14,636,932","756,841","421,913",0,5,0,7,0,88,0,0,0,1,"375,000","335,000",66,"5,464,129","1,711,337","1,912,445",0,0,Yes,0,"354,859","2,749,165","347,420","15,128,672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"89,832","40,573",Not Applicable,Not Applicable,"50,240",41.49,"22,931",62.7,"23,412",96.84,Not Applicable,Not Applicable,0,0,"3,547",68.16,"1,258",8,0,0,"27,752",162,Not Applicable,Not Applicable,"2,291",16.8,0,Not Applicable,Not Applicable,0,524,14,0,0,0,No,Not Applicable,Not Applicable,"1,407,036",55.89,Not Applicable,Not Applicable,"641,873","91,400",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"70,638",Not Applicable,"575,630",No,Not Applicable,Not Applicable,"484,342",16,Not Applicable,Not Applicable
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SPECIALIST,RQ3ORS,OTHER REPORTABLE SITES,Other Reportable Site,,,B4 6NH,"153,250","48,768","173,898","110,233",0,0,0,"4,190",0,0,0,0,0,Not Applicable,Not Applicable,"3,085",100,"8,256",Not Applicable,Not Applicable,0,0,0,795,6,0,15,"1,444",0,0,825,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,"1,000","242,760","73,268","8,561",0,0,0,0,17,66,0,0,17,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"41,416","284,453","14,361","468,733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"14,243","16,823",Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,0,45,3,0,0,0,None,Not Applicable,Not Applicable,"55,680",1,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,6. No service,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,Not Applicable,Not Applicable
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RQ601,BROADGREEN SITE,1. General acute hospital,1. Freehold,,L14  3LB,"1,974,400","2,173,900","665,000","576,810",0,0,Not Applicable,"1,180,630","86,920","208,735","65,798","1,224,379","155,990",Not Applicable,Not Applicable,"37,936",99.59,"73,626",12.12,0,0,182,"1,227","22,054",444,127,89,"5,128",804,0,"6,583",325,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,18,0,0,0,25,0,0,"1,088,000","1,084,000","958,500","232,000",0,34.6,10.5,30.8,0,3.6,4,0.1,16.4,1,"2,185,000","928,000",81,"40,803,460","13,075,046","15,624,100","10,585,368","4,674,194",Yes,"2,088,473","142,275","785,642","598,699","31,340,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"252,966","78,732",Not Applicable,Not Applicable,"7,252",13.43,"38,226",118.42,"38,854",175.02,0,0,0,0,"8,795",123.36,0,0,0,0,"47,486",328.03,0,0,"2,500",48.16,"61,420.00",Not Applicable,Not Applicable,"549,468","1,156",91,2,1.23,0.06,Yes,Not Applicable,Not Applicable,"957,892",35.92,Not Applicable,Not Applicable,"447,485","104,319",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"181,430",Not Applicable,"479,747",No,Not Applicable,Not Applicable,"191,885",5.61,Not Applicable,Not Applicable
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RQ617,ROYAL LIVERPOOL SITE,1. General acute hospital,1. Freehold,,L7   8XP,"9,473,400","10,613,500","1,867,992","1,185,975",0,0,Not Applicable,"3,782,234","48,760","660,997","411,738","4,073,455","499,707",Not Applicable,Not Applicable,"142,056",95.25,"280,551",9.15,0,0,"9,870",135,"76,974","3,989",749,"1,246","14,544","2,248",818,"24,690",793,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,82,79.81,0,0,114,0,21,"6,641,075","33,525,000","5,987,000",0,0.2,1.7,5.1,0,76,14.9,0,0,2.1,2,"5,362,000","5,334,000",58,"156,944,353","48,384,892","44,129,000","19,532,043","10,589,043",Yes,"10,084,433","859,327","3,694,964","2,669,378","157,791,895",0,0,0,0,0,0,0,0,0,0,"32,293",0,0,0,Not Applicable,Not Applicable,"638,834","264,719",Not Applicable,Not Applicable,"63,212",117.06,"305,953",947.81,323,1.67,0,0,0,0,"16,116",316.41,0,0,0,0,"82,334",580.55,0,0,"9,883",131.04,"376,045.00",Not Applicable,Not Applicable,"1,694,050","1,636",75,0,1.67,0.11,Yes,Not Applicable,Not Applicable,"5,375,375",171.34,Not Applicable,Not Applicable,"3,625,109","686,355",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"878,541",Not Applicable,"2,458,599",No,Not Applicable,Not Applicable,"1,528,219",85.38,Not Applicable,Not Applicable
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,RQ6ORS,OTHER REPORTABLE SITES,Other Reportable Site,,,,"110,600","3,070,000","1,195,879","24,108",0,0,0,"13,440","10,000",0,0,"68,272","15,944",Not Applicable,Not Applicable,"11,544",100,"21,359",Not Applicable,Not Applicable,0,0,0,"2,635","3,305",0,0,"4,170",0,0,"1,313",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,15.57,0,0,0,0,1,0,0,"25,000","10,000","10,000",0,10,30,30,0,0,30,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"7,219","191,614","40,959","990,018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"16,795","1,820",Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,"1,681",2.78,0,0,0,0,0,0,0,0,0,0,200,1,0,Not Applicable,Not Applicable,0,0,0,0,0,0,None,Not Applicable,Not Applicable,"126,315",4,Not Applicable,Not Applicable,0,0,No hostess,Not Applicable,Not Applicable,6. No service,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"12,000",1,Not Applicable,Not Applicable
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RQ8L0,BROOMFIELD HOSPITAL,1. General acute hospital,3. Part site - Private Finance Initiative (PFI),,CM1  7ET,"7,709,906","4,343,962","509,756","2,197,410","9,923,063",0,Not Applicable,"7,061,348","122,727","2,383,847","667,151","4,166,665","546,368",0,0,"126,672",74,"198,226",19,0,0,"2,691","1,262","64,943",964,448,565,"2,484",283,0,"19,251",710,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,33.88,25,0,0,196,39,4,"2,087,027","22,305,690","2,863,984","1,529,623",2,59,23,2,8,0,1,0,5,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"2,264,705","11,170,531","659,385","19,322,814","495,723","7,073,147",0,0,"705,121","7,802,691",0,0,0,0,0,0,0,0,0,0,"288,456","142,062",0,0,"78,887",123,"230,624",565,"10,102",31,0,0,0,0,"126,161",733,"3,440",8,0,0,0,0,0,0,"8,786",41,"312,907.00",0,0,"711,967","2,105",75,0,1,0.06,No,0,0,"4,752,561",178.15,0,0,"3,974,341","796,910",Complete hostess service,0,0,1. Contracted – Full service,"1,032,515",Not Applicable,"3,131,145",No,0,0,"1,551,858",58,0,0
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RQ8LJ,ST. PETER'S HOSPITAL,7. Community hospital (with inpatient beds),1. Freehold,,CM9  6EG,"223,266","228,926",0,0,0,0,Not Applicable,"54,114","3,634","36,618","33,278","38,695","13,049",Not Applicable,Not Applicable,"2,739",100,"5,030",2,0,0,0,0,"1,180",0,0,8,24,0,0,800,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,72.51,51,26,0,0,1,0,"2,447,574","4,840,444","3,079,147",0,0,0,0,0,0,0,0,0,100,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"49,531","275,563","89,195","2,025,346",0,0,0,0,"40,100","234,585",0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"11,283","3,542",Not Applicable,Not Applicable,921,1.49,"5,202",12.75,0,0,0,0,0,0,"11,289",47.29,0,0,0,0,0,0,0,0,0,0,"2,792.00",Not Applicable,Not Applicable,0,127,14,0,0,0,No,Not Applicable,Not Applicable,"67,375",3.01,Not Applicable,Not Applicable,"21,688","5,475",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"3,946",Not Applicable,"13,000",No,Not Applicable,Not Applicable,"33,688",1.15,Not Applicable,Not Applicable
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RQ8RR,BRAINTREE COMMUNITY HOSPITAL,7. Community hospital (with inpatient beds),2. Whole site - Private Finance Initiative (PFI),,CM7 2QU,"495,828","123,069","151,086","252,000","1,195,943",0,Not Applicable,"564,025",0,"73,236","25,576","232,361","30,665",0,0,"4,300",100,"10,630",2.08,0,0,0,0,"3,132",101,0,8,515,0,0,290,254,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"137,857","803,502","99,539","2,741,427",0,0,0,0,"84,941","514,208",0,0,0,0,0,0,0,0,0,0,"9,076","3,208",0,0,"1,612",2.61,"8,619",21.12,0,0,0,0,0,0,"12,762",47.46,0,0,0,0,0,0,0,0,0,0,"11,213.00",0,0,0,212,12,0,0,0,No,0,0,"252,719",9.24,0,0,"151,006","21,900",Complete hostess service,0,0,1. Contracted – Full service,"22,392",Not Applicable,"49,135",No,0,0,"150,621",6.1,0,0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,RQM01,CHELSEA & WESTMINSTER HOSPITAL,1. General acute hospital,1. Freehold,1. Leased and fully serviced by the Trust,SW10 9NH,"6,189,053","6,208,433",0,"2,206,040","197,380","170,894",Not Applicable,"3,984,582","40,883","1,147,479","135,430","1,737,287","680,552",Not Applicable,Not Applicable,"87,306",100,"189,309",2.34,0,"1,594",884,518,"49,337",471,0,102,"1,975","1,478","5,049","6,735",296,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,90,28,8,"197,000","924,000","1,627,865","288,000",2.07,2.01,1.87,89.24,2.62,0.99,0,0,1.2,2,"2,812,000","3,135,000",57,"25,248,927","5,158,832","9,314,624",0,0,Yes,"6,111,650","2,254,254","14,010,604","1,335,109","50,444,761",0,"36,785",0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,Not Applicable,"247,932","117,156",Not Applicable,Not Applicable,"72,216",120.06,"96,139",298.31,"67,609",341.76,0,0,0,0,"5,921",281.54,"10,336",56.62,0,0,"67,200",517.08,0,0,"4,624",39.22,"178,650.00",Not Applicable,Not Applicable,"68,112",348,17,3,3,0.22,No,Not Applicable,Not Applicable,"3,577,527",120,Not Applicable,Not Applicable,"2,933,775","386,960",Complete hostess service,Not Applicable,Not Applicable,1. Contracted – Full service,"750,930",Not Applicable,"2,423,211",No,Not Applicable,Not Applicable,"1,549,799",57,Not Applicable,Not Applicable
